model,n_people,n_embeddings,rank1,tar_at_far_1pct,tar_at_far_01pct,eer,eer_threshold,genuine_mean,impostor_mean
arcface,20,200,1.0,0.9877777777777778,0.9611111111111111,0.011105263157894736,0.2578972876073367,0.8364734334581428,0.05287086891590642
facenet_vgg,20,200,0.98,0.9566666666666667,0.9422222222222222,0.03889473684210526,0.6396228075021037,0.9087809116641681,0.31917114392212154
facenet_casia,20,200,0.985,0.9511111111111111,0.9155555555555556,0.03889473684210526,0.7143249511709111,0.9131960879762967,0.4771880539443442
adaface,20,200,0.995,0.9811111111111112,0.9633333333333334,0.017105263157894738,0.3033364713181873,0.8503249336447981,0.09001563369544027
magface,20,200,1.0,0.98,0.9711111111111111,0.018894736842105263,0.2740952372534804,0.8290073574913872,0.0678493575608897
